mood_rating,stress_level,sleep_quality,concentration_difficulty,academic_work_pressure,social_withdrawal,energy_level,anxiety_frequency,daily_functioning_impact,composite_score,risk_category
1,2,2,3,2,2,2,1,1,18.6,Mild
3,1,2,1,1,3,2,2,1,19.7,Mild
2,2,2,3,2,2,1,2,2,22.0,Mild
4,5,3,4,2,3,4,5,4,42.3,High
1,1,2,1,1,1,1,1,1,12.1,Low
4,2,3,3,4,3,3,2,2,31.4,Moderate
4,3,2,3,4,4,4,3,5,39.6,High
1,2,2,2,1,2,2,3,2,20.8,Mild
1,1,1,2,1,1,2,1,1,13.0,Low
1,1,1,1,1,1,1,1,1,11.0,Low
1,1,1,1,1,2,1,1,1,12.1,Low
1,1,3,1,1,1,1,2,1,14.6,Low
1,2,2,2,1,1,1,2,2,17.3,Low
2,1,1,1,1,1,2,1,1,13.5,Low
4,4,5,4,5,5,4,4,3,45.8,High
3,2,2,2,2,2,2,2,2,23.5,Mild
1,1,2,2,2,1,1,1,1,14.2,Low
4,4,4,3,2,2,2,3,3,33.7,Moderate
5,4,5,4,3,4,3,5,4,45.9,High
1,1,2,1,1,1,1,1,2,13.6,Low
1,1,1,2,1,1,2,1,2,14.5,Low
4,2,2,3,3,3,5,3,4,35.6,Moderate
3,3,2,2,3,2,3,3,2,28.3,Moderate
2,2,3,2,1,1,2,1,2,19.5,Mild
3,2,2,2,1,1,2,1,1,18.4,Low
1,1,2,1,1,1,1,2,1,13.5,Low
3,4,2,4,2,2,3,4,3,33.4,Moderate
1,2,1,3,1,2,2,3,1,19.2,Mild
2,3,2,2,3,2,1,3,2,24.8,Mild
3,2,2,2,2,2,2,2,3,25.0,Mild
2,2,1,1,1,2,1,1,1,14.9,Low
2,3,3,3,4,4,4,4,3,36.1,Moderate
2,3,2,2,4,3,1,2,3,27.1,Mild
2,3,3,3,2,3,3,4,3,31.8,Moderate
2,3,2,2,2,3,3,2,2,25.4,Mild
2,1,2,2,1,1,1,1,1,14.6,Low
2,2,1,1,1,1,1,1,1,13.8,Low
5,4,3,4,4,5,5,5,4,47.9,High
2,3,1,3,2,1,3,1,1,20.2,Mild
3,2,3,2,4,4,3,2,4,33.0,Moderate
4,4,2,3,4,4,4,4,5,42.3,High
4,4,4,3,4,4,4,5,3,42.9,High
1,2,2,3,2,3,2,3,3,25.5,Mild
2,2,3,1,3,3,1,1,1,20.4,Mild
4,2,4,5,5,4,4,5,4,44.9,High
3,3,4,3,5,4,3,4,3,38.8,High
5,4,4,4,3,4,3,4,4,43.4,High
2,3,3,3,3,3,3,3,3,31.5,Moderate
4,2,2,1,3,1,2,3,1,23.9,Mild
2,1,2,2,1,2,1,3,3,21.5,Mild
2,3,5,4,3,4,3,2,4,35.9,Moderate
1,1,2,2,2,2,1,2,2,18.2,Low
2,2,2,2,1,2,2,2,3,22.4,Mild
2,1,1,1,1,1,1,1,1,12.5,Low
1,2,4,1,2,2,2,3,3,24.6,Mild
3,1,1,2,2,2,2,2,2,21.1,Mild
2,2,2,2,2,2,2,3,1,21.9,Mild
4,5,4,3,3,3,4,4,5,43.6,High
1,2,2,1,1,1,1,1,1,13.4,Low
3,3,5,3,3,3,2,4,2,34.1,Moderate
2,1,1,2,2,1,1,1,2,16.1,Low
4,3,4,2,2,2,4,3,3,33.4,Moderate
1,3,1,1,2,1,1,1,1,14.7,Low
1,3,2,1,2,2,3,1,3,21.9,Mild
2,1,2,1,1,1,2,1,1,14.6,Low
2,2,2,1,2,2,2,3,3,23.9,Mild
1,1,1,1,1,1,1,1,1,11.0,Low
4,4,4,4,4,4,4,4,5,45.5,High
1,1,1,2,2,2,2,2,2,18.1,Low
1,3,3,2,1,2,2,1,2,20.4,Mild
2,1,1,1,2,1,1,1,1,13.6,Low
5,4,5,4,3,3,4,3,5,44.5,High
1,2,3,2,2,3,3,3,2,25.1,Mild
3,3,3,3,2,3,2,3,2,29.4,Moderate
3,3,4,4,2,3,3,4,3,35.4,Moderate
1,1,1,1,1,1,1,1,1,11.0,Low
3,2,5,3,3,3,3,2,3,32.5,Moderate
2,3,1,2,3,2,3,3,2,25.7,Mild
2,4,2,4,2,3,4,3,3,32.6,Moderate
3,4,3,3,2,3,3,3,2,31.7,Moderate
4,4,5,4,4,5,3,4,3,43.7,High
4,3,3,4,3,4,2,3,4,37.1,Moderate
1,1,2,1,1,1,2,1,1,13.1,Low
2,3,3,2,2,2,3,3,3,28.3,Moderate
1,2,2,1,4,2,3,3,1,22.6,Mild
1,1,1,1,2,2,1,1,1,13.2,Low
3,3,5,4,2,3,3,3,3,35.1,Moderate
3,2,1,1,1,2,3,2,2,21.3,Mild
1,2,4,3,4,2,2,3,3,28.8,Moderate
3,4,3,4,4,4,3,3,3,37.5,Moderate
2,2,2,2,2,2,3,1,2,21.6,Mild
1,1,3,1,1,1,2,1,1,14.2,Low
3,3,3,3,3,3,2,4,3,33.4,Moderate
4,4,4,5,4,4,5,3,3,43.1,High
1,2,2,2,1,1,1,1,1,14.4,Low
2,1,1,1,1,1,2,1,2,15.0,Low
4,4,5,4,4,4,3,4,5,45.6,High
2,2,3,2,1,2,2,3,2,23.4,Mild
2,2,2,2,4,2,3,1,2,23.8,Mild
1,1,1,1,1,2,2,1,1,13.1,Low
1,2,2,2,2,1,2,1,3,19.5,Mild
1,2,2,1,1,1,1,2,1,14.8,Low
2,3,2,3,2,4,2,2,1,25.0,Mild
3,3,5,4,3,3,3,3,2,34.7,Moderate
2,1,2,2,1,1,1,3,1,17.4,Low
5,4,5,4,3,5,5,4,4,47.6,High
3,3,2,3,3,4,2,3,2,30.5,Moderate
2,1,3,2,2,2,2,2,1,20.3,Mild
2,3,2,1,1,2,3,3,3,25.1,Mild
3,4,3,3,3,3,3,4,3,35.7,Moderate
1,1,1,1,1,1,1,1,1,11.0,Low
3,3,2,3,1,2,1,2,3,25.2,Mild
3,2,3,4,4,3,3,3,3,33.8,Moderate
3,3,2,4,2,3,3,3,3,31.8,Moderate
4,5,4,4,3,3,5,4,4,44.1,High
2,2,2,2,2,1,1,3,1,19.8,Mild
1,2,1,2,2,2,3,3,1,20.3,Mild
3,1,5,2,2,4,5,4,3,35.0,Moderate
3,3,3,3,3,2,2,2,4,31.0,Moderate
2,3,1,1,3,1,2,2,1,19.7,Mild
2,1,1,1,2,1,1,1,1,13.6,Low
2,2,2,2,1,1,3,1,2,19.4,Mild
4,3,4,2,3,2,4,2,3,33.1,Moderate
3,3,3,3,3,4,4,3,2,33.6,Moderate
2,2,2,1,1,1,3,3,2,21.2,Mild
2,2,2,2,1,2,1,2,2,19.9,Mild
1,1,2,1,1,2,1,1,1,13.2,Low
4,3,3,3,3,3,2,3,2,32.0,Moderate
2,1,2,1,1,1,1,2,1,15.0,Low
